tau,R_X_empirica,R_X_teorica
-1.8666222074024676,-0.9975000245150515,-0.9975798198066625
-1.8646215405135045,-0.8866477232690926,-0.8867298004457396
-1.8626208736245415,-0.7722938973851532,-0.7723779302606241
-1.8606202067355786,-0.6548901497704291,-0.6549758047549669
-1.8586195398466157,-0.5349001279994091,-0.534987065423372
-1.8566188729576527,-0.41279769328993726,-0.41288556875008203
-1.8546182060686895,-0.2890650491438342,-0.28915351486699953
-1.8526175391797266,-0.16419083704239032,-0.16427954326126348
-1.8506168722907637,-0.03866820671716266,-0.038756803052419415
-1.8486162054018007,0.08700713138309589,0.0869189945394708
-1.8466155385128378,0.21233886373823038,0.21225153384396986
-1.8446148716238746,0.3368320337841216,0.3367458547776144
-1.8426142047349117,0.45999499658128146,0.459910307527616
-1.8406135378459487,0.5813413604052852,0.5812584941628681
-1.8386128709569858,0.7003919075913635,0.7003111895043381
-1.8366122040680228,0.8166764870474116,0.8165982336689545
-1.8346115371790597,0.9297358709615515,0.9296603888130586
-1.8326108702900967,1.0391235683717952,1.0390511527428712
-1.8306102034011338,1.144407588435706,1.1443385222296594
-1.8286095365121708,1.2451721464366015,1.245106699065839
-1.826608869623208,1.341019305788993,1.3409577321247883
-1.8246082027342447,1.4315705495586888,1.4315130889393088
-1.8226075358452818,1.5164682752913663,1.5164151505923715
-1.8206068689563188,1.5953772072462729,1.5953286240167888
-1.818606202067356,1.667985720457903,1.6679418661260121
-1.816605535178393,1.734007071396701,1.7339681145470902
-1.8146048682894298,1.7931805303687047,1.7931466200954087
-1.8126042014004669,1.8452724111820784,1.8452436765186995
-1.810603534511504,1.8900769940142135,1.8900535434438668
-1.808602867622541,1.9274173378348296,1.9273992588816558
-1.806602200733578,1.9571459791766797,1.9571333380804337
-1.8046015338446149,1.9791455144942913,1.979138355969225
-1.802600866955652,1.9933290638109078,1.9933274108898331
-1.800600200066689,1.9996406138226122,1.999644467786663
-1.798599533177726,1.998055239104645,1.9980645794989322
-1.796598866288763,1.9885792005463487,1.9885939852813732
-1.7945981993998,1.9712499206259848,1.9712700861643173
-1.792597532510837,1.946135835623084,1.946161297250514
-1.790596865621874,1.913336125351949,1.9133667775319196
-1.788596198732911,1.8729803214836567,1.8730160382935317
-1.7865955318439481,1.825227796003348,1.825268431650726
-1.784594864954985,1.7702671318229846,1.770312521239891
-1.782594198066022,1.7083153780351223,1.7083653375477372
-1.780593531177059,1.6396171927488408,1.6396715208199946
-1.7785928642880962,1.5644438768929074,1.5645023549343346
-1.7765921973991332,1.4830923028018599,1.4831546960530229
-1.77459153051017,1.3958837418162005,1.3959498002860276
-1.772590863621207,1.3031625955267119,1.303232054994607
-1.7705901967322442,1.205295035673428,1.2053676187454563
-1.7685895298432812,1.102667558070531,1.1027429752865652
-1.7665888629543183,0.9956854562679773,0.9957634072554279
-1.764588196065355,0.8847712209776192,0.8848513956471622
-1.7625875291763922,0.7703628715847678,0.7704449513632639
-1.7605868622874292,0.6529122263343445,0.6529958854300294
-1.7585861953984663,0.53288311802295,0.5329680247180084
-1.7565855285095033,0.41074956224339365,0.41083538020860605
-1.7545848616205402,0.28699388541559734,0.28708027504196876
-1.7525841947315772,0.16210481999660348,0.1621914397387796
-1.7505835278426143,0.03657557439202985,0.03666208211792086
-1.7485828609536513,-0.0890981148087769,-0.08901206046723001
-1.7465821940646884,-0.21441994058183103,-0.21433467888214633
-1.7445815271757252,-0.3388949854703519,-0.3388108522226901
-1.7425808602867623,-0.46203167609897916,-0.461949002344087
-1.7405801933977993,-0.5833437244816443,-0.5832628351889038
-1.7385795265088364,-0.7023520484565412,-0.7022732612472254
-1.7365788596198735,-0.8185866636640663,-0.8185102875647603
-1.7345781927309103,-0.9315885395959825,-0.9315148738270624
-1.7325775258419474,-1.0409114123859478,-1.0408407451899195
-1.7305768589529844,-1.1461235471823867,-1.146056154696677
-1.7285761920640215,-1.2468094431437944,-1.246745588322278
-1.7265755251750585,-1.3425714743231445,-1.3425114059107892
-1.7245748582860954,-1.4330314599612748,-1.432975411525786
-1.7225741913971324,-1.517832157987886,-1.5177803470120774
-1.7205735245081695,-1.5966386758320608,-1.5965913028706689
-1.7185728576192065,-1.669139792970773,-1.6690970408747818
-1.7165721907302436,-1.7350491899924083,-1.7350112232039478
-1.7145715238412804,-1.7941065793215196,-1.7940735432421189
-1.7125708569523175,-1.846078733139384,-1.846050753573895
-1.7105701900633545,-1.8907604044409279,-1.8907375871193237
-1.7085695231743916,-1.9279751375906096,-1.9279575677694507
-1.7065688562854286,-1.9575759651762277,-1.9575637073212757
-1.7045681893964655,-1.979445988408668,-1.9794390859598308
-1.7025675225075025,-1.9934988387754804,-1.9934973139949554
-1.7005668556185396,-1.9996790191251403,-1.9996828730292706
-1.6985661887295767,-1.9979621228349969,-1.9979713352100161
-1.6965655218406137,-1.9883549301973678,-1.9883694596989128
-1.6945648549516505,-1.9708953816431367,-1.9709151659790447
-1.6925641880626876,-1.9456524279086078,-1.9456773841042176
-1.6905635211737247,-1.9127257577373136,-1.9127557824821158
-1.6885628542847617,-1.8722454041921466,-1.8722803742663654
-1.6865621873957988,-1.8243712311325442,-1.824411003911903
-1.6845615205068356,-1.7692923018847209,-1.7693367159212774
-1.6825608536178727,-1.707226132598176,-1.7072750082749333
-1.6805601867289097,-1.6384178332370976,-1.6384709734936935
-1.6785595198399468,-1.563139139599042,-1.5631963307255785
-1.6765588529509838,-1.4816873401836,-1.4817483526794544
-1.6745581860620207,-1.394384102149046,-1.3944486916432162
-1.6725575191730577,-1.3015742009934566,-1.3016421092227197
-1.6705568522840948,-1.2036241589770087,-1.203695114817964
-1.6685561853951318,-1.1009207976625663,-1.1009945182135437
-1.666555518506169,-0.9938697102908165,-0.9939459019991893
-1.6645548516172057,-0.8828936600228091,-0.8829720198533147
-1.6625541847282428,-0.7684309103755181,-0.7685111270150095
-1.6605535178392798,-0.6509334944438185,-0.6510152495374204
-1.658552850950317,-0.5308654297440214,-0.53094839915802
-1.656552184061354,-0.40870088572885566,-0.40878474083525823
-1.6545515171723908,-0.28492231121069495,-0.28500672018824713
-1.6525508502834279,-0.16001852908815944,-0.1601031582348611
-1.650550183394465,-0.034482805900343125,-0.0345673209521377
-1.648549516505502,0.0911890961676702,0.09110502871722923
-1.646548849616539,0.21650087713503594,0.21641758871929306
-1.6445481827275759,0.34095765919923565,0.34087547787230205
-1.642547515838613,0.464067941093747,0.46398719023893165
-1.64054684894965,0.5853455391112007,0.5852665361691002
-1.638546182060687,0.704311507126591,0.7042345623476993
-1.636545515171724,0.8204960280380353,0.8204214432649674
-1.634544848282761,0.9334402691554609,0.9333683366394391
-1.632544181393798,1.0426981942099636,1.042629195466152
-1.630543514504835,1.1478383248279072,1.1477725295343106
-1.628542847615872,1.2484454445133946,1.2483831094573858
-1.6265421807269091,1.344122238409792,1.3440636064864506
-1.624541513837946,1.4344908623646029,1.4344361616308696
-1.622540846948983,1.5191944351011892,1.5191438778893596
-1.62054018006002,1.5978984476044877,1.5978522296986033
-1.6185395131710572,1.6702920841548228,1.670250384033132
-1.6165388462820942,1.7360894497928192,1.7360524279391982
-1.614538179393131,1.795030699367948,1.7949984976549453
-1.612537512504168,1.8468830637118936,1.8468558048577988
-1.6105368456152052,1.8914417688842105,1.891419555986216
-1.6085361787262422,1.9285308448600043,1.9285137610051841
-1.6065355118372793,1.9580038204659975,1.9579919284216363
-1.604534844948316,1.9797443018205487,1.9797376438049221
-1.6025341780593532,1.9936664319932687,1.9936650295277096
-1.6005335111703902,1.999715230068962,1.999719083911762
-1.5985328442814273,1.9978668082768622,1.997875898439147
-1.5965321773924643,1.9881284663276877,1.9881427521711563
-1.5945315105035012,1.9705386625859627,1.9705580830020184
-1.5925308436145382,1.9451668621914446,1.9451913358609474
-1.5905301767255753,1.9121132627294493,1.9121426884619914
-1.5885295098366123,1.8715083985334633,1.8715426556847368
-1.5865288429476494,1.8235126251827027,1.8235515741482606
